fips,state,county,rate_mort_period1,rate_vaccination
12021,Florida,Collier,0.0825012242117141,0.6584662224020098
12023,Florida,Columbia,0.15208470831300755,0.39154638583603546
12027,Florida,DeSoto,0.13538968683776784,0.4582057923239934
12029,Florida,Dixie,0.06563637448535116,0.313085506295125
12031,Florida,Duval,0.06880501262094867,0.5230577148499297
12033,Florida,Escambia,0.10313601839051895,0.47794225004271446
12035,Florida,Flagler,0.03986895248660923,0.5758983515054863
12039,Florida,Gadsden,0.13234153242367544,0.5514078400949208
12041,Florida,Gilchrist,0.11195700850873264,0.3443797581728616
12049,Florida,Hardee,0.07896711019860228,0.40083705136810516
12051,Florida,Hendry,0.11610590878114037,0.4503899644110149
12053,Florida,Hernando,0.12544019741408116,0.4926817983188957
12055,Florida,Highlands,0.18076752111423913,0.488981083617326
12057,Florida,Hillsborough,0.0684358135093255,0.5502027042764506
12059,Florida,Holmes,0.09667735205820994,0.26321681168269473
12061,Florida,Indian River,0.09199689588705035,0.6117418078954615
12063,Florida,Jackson,0.21978486443077835,0.36921743908366617
12069,Florida,Lake,0.07136234360187105,0.5749565054329142
12071,Florida,Lee,0.0808336246848803,0.570352855201348
12073,Florida,Leon,0.056126325299967826,0.5163724597704297
12075,Florida,Levy,0.03961318886170337,0.4093673540720028
12079,Florida,Madison,0.1669634906500445,0.40277159394479073
12081,Florida,Manatee,0.09957218983763227,0.5613369693027445
12083,Florida,Marion,0.11385764601977079,0.5031869499984039
12085,Florida,Martin,0.1174012661663437,0.5905977996730438
12086,Florida,Miami-Dade,0.14812528245403841,0.761910260951444
12087,Florida,Monroe,0.03378622969809591,0.6288220672345971
12089,Florida,Nassau,0.06972728882592527,0.5154838852488047
12091,Florida,Okaloosa,0.08740102424551657,0.5222943477521401
12093,Florida,Okeechobee,0.12360004035919686,0.4506104328523862
12095,Florida,Orange,0.04748557249837052,0.6000882574263519
12097,Florida,Osceola,0.06921287719731588,0.6191387756782347
12099,Florida,Palm Beach,0.11888558502229271,0.6034200715592039
12101,Florida,Pasco,0.057840399650466015,0.517507844048045
12103,Florida,Pinellas,0.0995717891747219,0.6011863118505026
12105,Florida,Polk,0.09971781100785329,0.5055844732610069
12107,Florida,Putnam,0.08455967594549992,0.3707396243913749
12109,Florida,St. Johns,0.038767486513669194,0.6116302459541008
12111,Florida,St. Lucie,0.11511849003420142,0.5219818604848949
12113,Florida,Santa Rosa,0.0601063829787234,0.44197340425531917
12115,Florida,Sarasota,0.10161149845854665,0.6420026451247218
12117,Florida,Seminole,0.0637137468780264,0.5588141597431062
12119,Florida,Sumter,0.08169430914359702,0.76757198347617
12121,Florida,Suwannee,0.2093205134103142,0.35004830473386395
12123,Florida,Taylor,0.10552394934850431,0.3526793907138925
12125,Florida,Union,0.38397225490803244,0.31058400941351333
12127,Florida,Volusia,0.07117784887533579,0.5422632026780214
12129,Florida,Wakulla,0.056272953441535364,0.41150337637720646
12131,Florida,Walton,0.053117322886926506,0.41921519155434567
